Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB,DiscrimA,DiscrimB,GenA,GenB
1,0.21826717,0.21829975,0.10595526546239853,0.1107100248336792,0.09427544,0.09826868,4.821589,4.6915374
2,0.18194816,0.18106633,0.11565016955137253,0.11193570494651794,0.027882459,0.023788072,6.940556,6.8304133
3,0.1798803,0.18043928,0.10054033249616623,0.09885746985673904,0.009923427,0.0070441384,8.375664,9.042979
4,0.17812608,0.1788036,0.10099402815103531,0.0991278812289238,0.0026860943,0.00833502,9.623382,8.960505
5,0.17753512,0.17915104,0.08680882304906845,0.08056256175041199,0.00092689757,0.0015192745,11.412635,10.994582
6,0.17491591,0.17775854,0.10301962494850159,0.10304223746061325,0.0002807069,0.0017717564,12.229349,10.974571
7,0.1753609,0.17638779,0.10210055112838745,0.10209403187036514,0.00037719627,0.00030458358,11.864822,12.334692
8,0.17506014,0.17627667,0.1057109609246254,0.10519003123044968,0.00034068714,0.00027471766,11.631725,12.199718
9,0.17430116,0.1752902,0.10565615445375443,0.10337002575397491,0.00045964157,0.00067714835,11.4816475,11.7963
10,0.17427303,0.17628393,0.10110285133123398,0.10071508586406708,0.0024468524,0.00047193907,10.198122,11.982499
11,0.17298834,0.17460763,0.09924636781215668,0.10018657147884369,0.0014027951,0.00025693202,11.312673,11.867977
12,0.1759626,0.17225397,0.10036955028772354,0.10052057355642319,0.010508496,0.0002684915,10.322867,11.457546
13,0.17474951,0.1765901,0.10248319804668427,0.10318366438150406,0.0046205427,0.00029443053,11.600042,11.296138
14,0.17456405,0.17426261,0.1041221171617508,0.10446709394454956,0.0006002713,0.0011178602,13.1479025,10.861383
15,0.17555775,0.17674313,0.10183999687433243,0.10187531262636185,0.00038076975,0.00053876184,12.889504,12.099267
16,0.17629054,0.17504539,0.10054932534694672,0.09967292845249176,0.00036380772,0.00026968392,12.475763,12.369709
17,0.17526817,0.17579003,0.10105780512094498,0.1006341427564621,0.0003295517,0.0002448223,12.018106,11.815976
18,0.17371418,0.17566271,0.10001423209905624,0.10063833743333817,0.00066921976,0.00036771008,11.877298,11.500527
19,0.175291,0.17497881,0.10318519920110703,0.1040666401386261,0.00030131848,0.00082704873,12.259302,11.755529
20,0.17504825,0.17742719,0.09902586787939072,0.1001189723610878,0.00036433255,0.02623382,11.658636,10.202064
21,0.17577077,0.17615245,0.10214740037918091,0.10308267921209335,0.00031056357,0.0018589583,11.734784,14.422882
22,0.17655437,0.17374478,0.101267971098423,0.10171330720186234,0.00030402673,0.0009228728,11.579118,15.093663
23,0.17479162,0.17685452,0.10466206073760986,0.10384786128997803,0.00031794465,0.00052339025,11.610742,14.305362
24,0.1752704,0.17446004,0.10099662840366364,0.09986384212970734,0.00027442403,0.0004216993,11.666127,13.997048
25,0.17532907,0.17535532,0.10098561644554138,0.10037911683320999,0.0009110681,0.00036361002,11.795956,13.592849
