Epoch,Avg_Train_lossA,Avg_Train_lossB,TestLossA,TestLossB
1,0.29085946,0.28945404,0.06000424548983574,0.06022249534726143
2,0.26793617,0.26830876,0.061755016446113586,0.062067363411188126
3,0.2525912,0.25195822,0.06276211142539978,0.06315168738365173
4,0.24183498,0.23833944,0.0629822388291359,0.06438431888818741
5,0.23020922,0.22894596,0.06995247304439545,0.07039079815149307
6,0.22161554,0.22118859,0.0689968392252922,0.06900008022785187
7,0.21634583,0.21444595,0.06674618273973465,0.06848518550395966
8,0.20903297,0.2073714,0.07320259511470795,0.07236646860837936
9,0.20348467,0.20091131,0.0700690746307373,0.07344397902488708
10,0.1999899,0.19779226,0.07427065074443817,0.07692157477140427
11,0.19465713,0.19457711,0.07721085101366043,0.07761869579553604
12,0.19253089,0.19212668,0.0828300192952156,0.08418260514736176
13,0.18840817,0.1901744,0.0789511427283287,0.08085967600345612
14,0.18698192,0.1879345,0.08037883788347244,0.08263248950242996
15,0.18525642,0.18600363,0.08669529855251312,0.08281823992729187
16,0.18454146,0.18490945,0.08556178957223892,0.08819548040628433
17,0.18135217,0.18164842,0.08209429681301117,0.08424448221921921
18,0.18021695,0.18074939,0.0863606408238411,0.08797699213027954
19,0.17832634,0.17874117,0.0846484825015068,0.08849784731864929
20,0.17769954,0.17977726,0.08628710359334946,0.08904153853654861
21,0.17760314,0.17661548,0.09286510199308395,0.09230910241603851
22,0.17740685,0.17580786,0.08750252425670624,0.08878136426210403
23,0.17525223,0.17787896,0.09107120335102081,0.0936719998717308
24,0.17525308,0.17462757,0.09470478445291519,0.0986388772726059
25,0.17624202,0.17524907,0.0940767377614975,0.0936807170510292
